Li,Be,B,C,Mg,Al,Si,P,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Y,Zr,Nb,Mo,Pd,Ag,In,Sn,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ta,W,Pt,Au,index,Dmax
0.0,0.0,0.004705882,0.0076470585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00882353,0.0,0.02882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00058823527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411765,4.0
0.0,0.0,0.007999999,0.0,0.0,0.0,0.0053333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444,1.5
0.004536842,0.0,0.0,0.0,0.0038842105,0.0,0.0,0.0,0.034210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94736844,2.0
0.0,0.0,0.0,0.0,0.016666507,0.0,0.0,0.0,0.016666507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95000046,3.0
0.0,0.0,0.0026190476,0.0033333334,0.0,0.0,0.0015714286,0.004142857,0.0,0.0,0.0,0.0,0.0010952381,0.0,0.034857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95238096,2.0
0.0,0.0,0.0,0.0,0.0,0.0027272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0027272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95454544,10.0
0.0,0.0,0.0,0.0,0.015826087,0.0,0.0,0.0,0.011826088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95652175,5.0
0.0,0.010833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01125,0.0025,0.0,0.0,0.0,0.0,0.0,0.004166667,0.0,0.0,0.0,0.012916666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333,15.0
0.0,0.0,0.0008,0.0036000002,0.0,0.0,0.0,0.0036000002,0.0,0.0,0.0,0.0,0.0032,0.0,0.028800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0
0.0,0.0,0.0,0.0,0.0,0.0038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923077,0.0,0.0,0.0076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96153843,5.0
